Word	POS	Verified	Category	Canonical Name	WNet SenseKey	WN30 Synset	KM30 Name	WN2.0 Synset	KM20 Name	WordNet gloss	WordNet example usage
aeroplane	n		trans	plane	aeroplane%1:06:00::	102691156	plane_n1	102599023	plane_n1	an aircraft that has a fixed wing and is powered by propellers or jets;	the flight was delayed due to trouble with the airplane
aerosol	n	y		aerosol	aerosol%1:19:00::	111422597	aerosol_n1	110684168	aerosol_n1	a cloud of solid or liquid particles in a gas	
affair	n			affair	affair%1:09:00::	105671325	matter_n1	105344294	thing_n8	a vaguely specified concern;	several matters to attend to; it is none of your affair; things are going well
affect	n	okay	abs	affect	affect%1:12:00::	107479926	affect_n1	107023108	affect_n1	the conscious subjective aspect of feeling or emotion	
affection	n			affection	affection%1:12:00::	107544647	affection_n1	107079835	affection_n1	a positive feeling of liking;	he had trouble expressing the affection he felt; the child won everyone's heart; the warmness of his welcome made us feel right at home
affirmation	n			affirmation	affirmation%1:10:00::	106732350	affirmation_n1	106318236	affirmation_n1	a statement asserting the existence or the truth of something	
affix	v				affix%2:35:00::	201356370	affix_v1	201316461	affix_v1	attach to;	affix the seal here
afford	v				afford%2:34:00::	201192628	afford_v1	201156300	afford_v1	be able to spare or give up;	I can't afford to spend two hours with this person
afghan	n		clothes	afghan	afghan%1:06:00::	102683323	afghan_n1	102591237	afghan_n1	a blanket knitted or crocheted in strips or squares; sometimes used as a shawl	
Afghanistan	n		loc	Afghanistan	afghanistan%1:15:00::	108703454	Afghanistan_n1	108170674	Afghanistan_n1	a mountainous landlocked country in central Asia; bordered by Iran to the west and Russia to the north and Pakistan to the east and south;	Soviet troops invaded Afghanistan in 1979
afraid	adj	y			afraid%5:00:00:disinclined:00	301293396	afraid_s4	301246622	afraid_s4	having feelings of aversion or unwillingness;	afraid of hard work; afraid to show emotion
Africa	n		loc	Africa	africa%1:17:00::	109189411	Africa_n1	108617365	Africa_n1	the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean	
